Feature_1,Feature_2,person
1.843183094,1.314702768,1
1.781858847,0.925744409,1
0.806028135,-2.324464401,2
-0.180511984,0.555683455,4
0.74187599,-2.115366663,2
2.051259631,0.944804999,1
0.833440142,0.564347121,5
0.693630155,0.212506934,5
1.488584664,-2.414030437,2
0.771022253,-2.54146463,2
2.14799537,1.055450837,1
-0.251765257,-0.092763713,4
1.838072096,0.766508582,1
0.84471661,0.067136385,5
-0.057708289,0.090464203,4
0.237309584,-0.272816236,4
-0.004049167,-0.317313279,4
0.840849656,-2.172745472,2
1.109979474,-2.281963936,2
1.204567447,0.554012198,5
1.29253592,1.955882786,3
0.099379029,0.292663538,4
0.705547405,2.138631042,3
0.754533795,2.627716183,3
2.167937134,1.324234218,1
0.521671702,-2.179812507,2
0.61590868,0.261737198,5
2.016717474,1.328257456,1
-0.143752271,-0.055697693,4
0.867986654,2.039222173,3
1.107104646,1.792127121,3
0.556424126,-1.656873787,2
2.280703518,1.381466528,1
1.666827246,1.525681133,1
1.086932457,-1.37737976,2
1.101548922,-2.124586374,2
1.675681002,1.184780682,1
1.250707634,-2.338912056,2
1.391643642,2.006301152,3
-0.139025308,-0.139718926,4
1.15451058,2.154135785,3
0.86219173,-2.254953311,2
0.866069916,0.058226998,5
1.086750593,0.736590042,5
1.205878057,1.516185239,3
1.111343762,-2.181195556,2
1.005525514,-1.497068806,2
0.943938507,-0.131919317,5
1.173121638,-2.060913616,2
2.196309697,0.983324599,1
-0.158928061,0.15398023,4
0.420838293,-0.420555319,4
0.559732353,0.142149876,5
2.008495513,1.008926842,1
-0.785923531,0.246570751,4
0.98017606,-2.36330486,2
1.08011508,0.266889239,5
1.76786324,0.626603589,1
0.967371955,2.120513517,3
1.107336208,2.168235358,3
0.58669919,1.718652488,3
1.05732972,0.013930964,5
2.155297706,0.782276856,1
0.064228123,-0.373721634,4
2.122475827,0.489224919,1
1.353789155,-1.979744456,2
0.85842044,2.326685179,3
-0.318691114,0.142077729,4
1.281485142,-0.154813418,5
0.748083447,1.820182206,3
2.004178788,0.992762474,1
1.827901398,0.835942318,1
1.46425156,0.538763302,5
1.123879436,1.830882634,3
0.018069063,0.738972634,4
0.822281823,-2.259197231,2
0.785408887,2.203879325,3
0.816163393,-0.116310468,5
-0.331900492,-0.358861987,4
1.059717909,1.819934937,3
1.164129214,1.939342204,3
0.78089001,2.064937577,3
1.811909883,1.543734567,1
1.65694088,1.757510514,3
1.172967089,-1.906624954,2
-0.292404501,0.236125381,4
0.949864576,0.044014106,5
0.243757747,0.406872009,4
0.917484491,-2.690576349,2
0.54418901,1.854729778,3
1.077916751,-2.271294988,2
1.320002407,0.350788677,5
1.023210492,-2.25838526,2
0.603930038,2.54943763,3
0.925310755,-1.708528715,2
1.358513989,-0.456956071,5
1.085759617,0.100337037,5
0.873943955,-0.084535383,5
1.020940625,1.884405921,3
2.097839907,0.624665927,1
1.723030026,0.594494618,1
1.465150148,-0.299506212,5
1.434093365,0.058966433,5
0.869651132,-0.092751637,5
0.996325968,1.730823689,3
1.261696191,2.055002602,3
0.187700204,-0.257147267,4
1.322089525,-0.30795459,5
1.317527346,-2.527621846,2
0.853718133,-2.129767456,2
0.808678005,-0.159299087,5
0.37976737,-2.026736012,2
1.348949126,2.003069918,3
0.833905208,-2.359363368,2
1.89171015,1.347798941,1
1.022741367,1.796851487,3
1.097249906,1.960957084,3
1.465345593,-1.96529761,2
0.688826154,-2.057101603,2
-0.321267749,0.144741725,4
1.118335643,-2.126295344,2
2.308746691,1.141779245,1
1.489723391,1.570957587,3
1.469657209,-0.019725078,5
1.350334618,-1.923673747,2
1.014556488,-2.249285035,2
1.096815568,1.751830717,3
1.988709589,1.330990565,1
0.844813465,0.422804232,5
1.926277081,0.918182929,1
0.86614497,-0.566862219,5
0.834333087,0.189879545,5
