Name,Number,Photo,Image_Path,Normalized_Name,Normalized_Numbers,OCR_Name,OCR_Numbers,Name_Score,Name_Match,Number_Match_Count
فودلند,-,https://drive.google.com/file/d/1CfAUiOr41a7FI7fnVBXfs18T8YXdmloo/view?usp=drivesdk,images\0.jpg,فودلند,[],,[],0,False,0
پیتزا فلای لند,33290149 - 09116467781,https://drive.google.com/file/d/1nHX_WC-bl-VREJu_YX4Vx1BZKnHsGiU6/view?usp=drivesdk,images\1.jpg,پیتزا فلای لند,"['33290149', '09116467781']",سسا غسن عتبک پنتس,[],19,False,0
آشپزخانه قصر,33236321,https://drive.google.com/file/d/1cSJEx80vgCbZCXz0voPkr0enI7OPqmEW/view,images\2.jpg,آشپزخانه قصر,['33236321'],تخانةقری,[],50,False,0
فست فود نود,2133239281,https://drive.google.com/file/d/1xSGLmaQ_rTIJsUZTBxY_ldjNqA-HMwNL/view,images\3.jpg,فست فود نود,['2133239281'],,[],0,False,0
کبابسرای غفاردایی,9112815611,https://drive.google.com/file/d/1rpOeOjgixmti4q1yBf17XEmMTH8QT9Lh/view,images\4.jpg,کبابسرای غفاردایی,['9112815611'],جگرخالص مخلوط دل قلود شیشلیک,[],26,False,0
آشپزخانه مهران,1733230254,https://drive.google.com/file/d/1QTfYVdNHJwuymoJDWtxhiJ4ev-6kAKFY/view,images\5.jpg,آشپزخانه مهران,['1733230254'],شپزفیه مهران,[],76,False,0
ریزوتو,33290352,https://drive.google.com/file/d/11_ShVdW7NL-OSFGhRb3vnXA6Wpo7dLNJ/view,images\6.jpg,ریزوتو,['33290352'],لسیآب بآژی,[],12,False,0
Fahi yemek,09360934063 - 33241720,https://drive.google.com/file/d/1-zbd1I6G7Sg4ZjfjkC5gcfENw01KPYTl/view,images\7.jpg,Fahi yemek,"['33241720', '09360934063']",بژلاگ ایشلما,[],9,False,0
فست فود 20 فود,33331212,https://drive.google.com/file/d/1XFq3ot4OvbzpY5DBSMqJ3DFW5Bm3zvn8/view,images\8.jpg,فست فود 20 فود,['33331212'],نب لر ذس ی,['0918790431'],25,False,0
کبابی محمدی,1733435687,https://drive.google.com/file/d/1EgTpF3MXqppDTGrMkUxxKH1k6-uKcqIt/view,images\9.jpg,کبابی محمدی,['1733435687'],ت ا جب نتم,[],19,False,0
